"sample","condition","sample_region","individuum","big_area","area","Acronym","condition__Acronym","RIN"
"X2_56","X","X_56","X2","Basal Ganglia","Nucleus Accumbens","NACC","X__NACC",8.3
"X2_57","X","X_57","X2","Basal Ganglia","Caudate ","CAUD","X__CAUD",8
"X2_58","X","X_58","X2","Basal Ganglia","Putamen","PUT","X__PUT",7.3
"X2_63","X","X_63","X2","Basal Ganglia","Substantia Nigra","SN","X__SN",7.1
"X2_64","X","X_64","X2","Basal Ganglia","Globus Pallidus","GP","X__GP",6.3
"X2_68","X","X_68","X2","Diencephalon","Medial Dorsal Thalamus","MDTH","X__MDTH",6.8
"X2_69","X","X_69","X2","Diencephalon","Hypothalamus","HYP","X__HYP",7
"X2_72","X","X_72","X2","White Matter","Internal Capsule","IC","X__IC",6
"X2_73","X","X_73","X2","White Matter","Corpus Callosum Anterior","CCa","X__CCa",6.9
"X2_74","X","X_74","X2","White Matter","Posterior Corpus Callosum","CCp","X__CCp",7
"X2_75","X","X_75","X2","Cerebellum","Cerebellar White Matter","CB_WM","X__CB_WM",6.8
"X3_1","X","X_1","X3","Cerebellum","Cerebellar Grey Matter","CB_GM","X__CB_GM",8.8
"X3_15","X","X_15","X3","Frontal Lobe","1ary Motor Ctx","BA4","X__BA4",6.4
"X3_16","X","X_16","X3","Temporal Lobe","1ary Auditory Ctx","BA41_42","X__BA41_42",8.2
"X3_17","X","X_17","X3","Occipital Lobe","Anterior Striate Ctx- 1ary Visual Ctx","BA17a","X__BA17a",6.2
"X3_18","X","X_18","X3","Parietal Lobe","1ary Somatosensory Ctx","BA3_1_2","X__BA3_1_2",7.3
"X3_27","X","X_27","X3","Occipital Lobe","Anterior Extrastriate Ctx- 2ary Visual Ctx","BA18_19a","X__BA18_19a",7.6
"X3_28","X","X_28","X3","Temporal Lobe","2ary Auditory Ctx- Wernicke","BA22p","X__BA22p",7.8
"X3_29","X","X_29","X3","Parietal Lobe","Precuneus","BA7m","X__BA7m",7.9
"X3_30","X","X_30","X3","Frontal Lobe","Premotor Ctx Anterior Lateral","BA6a","X__BA6a",8.3
"X3_31","X","X_31","X3","Parietal Lobe","Supramarginal Gyrus Posterior","BA40p","X__BA40p",7.7
"X3_32","X","X_32","X3","Frontal Lobe","Ventrolateral PreFrontal Ctx-Broca","BA44","X__BA44",7.9
"X3_33","X","X_33","X3","Temporal Lobe","visual processing, recognition memory","BA20a","X__BA20a",8.2
"X3_34","X","X_34","X3","Frontal Lobe","Dorsolateral Prefrontal Ctx","BA9","X__BA9",7.8
"X3_37","X","X_37","X3","Temporal Lobe","2ary Auditory","BA21a","X__BA21a",7.7
"X3_43","X","X_43","X3","Temporal Lobe","Temporopolar Ctx","BA38","X__BA38",7
"X3_46","X","X_46","X3","Frontal Lobe","Medial Anterior Prefrontal Ctx","BA10m","X__BA10m",6.7
"X3_47","X","X_47","X3","Limbic Lobe","Cingulate Cortex Posterior","BA31","X__BA31",7.7
"X3_48","X","X_48","X3","Limbic Lobe","Cingulate Cortex Anterior","BA24","X__BA24",8.2
"X3_49","X","X_49","X3","Limbic Lobe","Cingulate Cortex Anterior","BA32","X__BA32",9
"X3_50","X","X_50","X3","Frontal Lobe","Orbitofrontal Ctx","BA11","X__BA11",7.9
"X3_52","X","X_52","X3","Limbic Lobe","Amygdala","AMG","X__AMG",6.2
"X3_53","X","X_53","X3","Insula","Insular Cortex Posterior","INSp","X__INSp",8
"X3_54","X","X_54","X3","Limbic Lobe","Entorhinal Cortex","ENTCTX","X__ENTCTX",8
"X3_55","X","X_55","X3","Limbic Lobe","Hipocampus-CA3/Dentate Gyrus","CA3_DG","X__CA3_DG",6.5
"X3_56","X","X_56","X3","Basal Ganglia","Nucleus Accumbens","NACC","X__NACC",6.8
"X3_57","X","X_57","X3","Basal Ganglia","Caudate ","CAUD","X__CAUD",7.9
"X3_58","X","X_58","X3","Basal Ganglia","Putamen","PUT","X__PUT",7.8
"X3_63","X","X_63","X3","Basal Ganglia","Substantia Nigra","SN","X__SN",6.3
"X3_64","X","X_64","X3","Basal Ganglia","Globus Pallidus","GP","X__GP",7.1
